abbr,name,capital,population_millions,agencyName,fiscalYear,totalBudget_millions,budgetSource,budgetUrl,budgetNote,fund_general_fund,fund_federal_funds,fund_other_state_funds,fund_bonds,yoy_fy23_to_fy24,yoy_fy24_to_fy25,pct_state_fy2023,pct_state_fy2024,pct_state_fy2025,exp_construction_capital,exp_maintenance_services,exp_administration_safety,exp_grants_to_local_govts,exp_debt_service_interest,publicRoadMiles,bridges_total,bridges_good,bridges_fair,bridges_poor,num_districts,num_counties,hq_address,hq_city,hq_state,hq_zip,hq_phone,hq_website
HI,Hawaii,Honolulu,1.45,Hawaii Department of Transportation,2025,2106,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,465,1363,278,11.0,13.2,8.7,9.2,10.5,1021.0,305.4,285.5,189.2,305.0,4522,1195,445,672,78,4,5,869 Punchbowl Street,Honolulu,HI,96813,(808) 587-2150,https://hidot.hawaii.gov
ID,Idaho,Boise,2.0,Idaho Transportation Department,2025,1061,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,450,611,0,28.0,-6.5,7.2,9.4,6.6,585.1,101.0,48.3,232.9,93.7,59861,4616,1363,3027,226,6,44,3311 West State Street,Boise,ID,83703,(208) 334-8000,https://itd.idaho.gov
IL,Illinois,Springfield,12.71,Illinois Department of Transportation,2025,8396,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,150,7273,973,-1.7,11.2,6.3,5.4,5.5,4812.4,956.3,606.6,533.7,1487.0,146020,26928,12289,12122,2517,9,102,2300 South Dirksen Parkway,Springfield,IL,62764,(217) 782-7820,https://idot.illinois.gov
IN,Indiana,Indianapolis,6.92,Indiana Department of Transportation,2025,1660,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),199,749,712,0,0.7,-51.0,6.3,6.7,3.5,870.5,466.4,72.1,210.4,40.6,97040,19495,8224,10253,1018,6,92,"100 N Senate Avenue, IGCN Room N755",Indianapolis,IN,46204,(317) 232-5533,https://www.in.gov/indot
IA,Iowa,Des Moines,3.24,Iowa Department of Transportation,2025,2206,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,653,1553,0,5.6,-12.3,8.1,8.0,6.7,1027.3,213.9,238.6,726.1,0.0,115018,23719,9213,9962,4544,6,99,800 Lincoln Way,Ames,IA,50010,(515) 239-1101,https://iowadot.gov
KS,Kansas,Topeka,2.97,Kansas Department of Transportation,2025,1990,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,612,1201,177,-18.1,-15.0,11.8,9.6,7.1,1281.7,168.7,262.1,128.3,149.0,138975,24894,13060,10524,1310,6,105,700 SW Harrison Street,Topeka,KS,66603,(785) 296-3566,https://www.ksdot.gov
KY,Kentucky,Frankfort,4.59,Kentucky Transportation Cabinet,2025,3151,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),66,1002,2083,0,1.1,-0.9,6.3,6.2,5.5,2022.6,708.0,125.6,0.0,294.8,79676,14548,3866,9610,1072,12,120,200 Mero Street,Frankfort,KY,40622,(502) 564-4890,https://transportation.ky.gov
LA,Louisiana,Baton Rouge,4.6,Louisiana Department of Transportation and Development,2025,2843,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),136,1259,1281,167,31.2,10.6,4.6,5.9,5.9,1593.2,668.8,106.0,121.4,353.6,66292,12698,4919,6321,1458,9,64,1201 Capitol Access Road,Baton Rouge,LA,70802,(225) 379-1232,https://wwwsp.dotd.la.gov
ME,Maine,Augusta,1.41,Maine Department of Transportation,2025,1212,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,472,710,30,11.7,18.6,7.0,7.8,8.3,622.7,417.9,124.3,0.0,47.1,22848,2518,626,1504,388,5,16,16 State House Station,Augusta,ME,04333,(207) 624-3000,https://www.maine.gov/mdot
MD,Maryland,Annapolis,6.27,Maryland Department of Transportation,2025,6482,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),51,1418,5013,0,10.2,12.5,7.6,8.5,9.1,2285.0,1021.3,1467.7,491.1,1216.8,32636,5484,1771,3463,250,7,24,7201 Corporate Center Drive,Hanover,MD,21076,(410) 865-1000,https://www.mdot.maryland.gov
MA,Massachusetts,Boston,7.14,Massachusetts Department of Transportation,2025,6073,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),723,1063,3049,1238,8.4,2.5,6.8,7.1,6.8,2053.7,774.9,742.3,899.4,1602.8,36894,5296,1332,3494,470,6,14,"10 Park Plaza, Suite 4160",Boston,MA,02116,(857) 368-4636,https://www.mass.gov/orgs/massachusetts-department-of-transportation
MI,Michigan,Lansing,10.17,Michigan Department of Transportation,2025,6714,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),188,2294,4020,212,-0.1,-17.6,10.0,9.5,8.3,5185.1,556.9,677.1,37.7,257.2,122039,11371,3836,6254,1281,7,83,425 West Ottawa Street,Lansing,MI,48909,(517) 241-2400,https://www.michigan.gov/mdot
MN,Minnesota,Saint Paul,5.82,Minnesota Department of Transportation,2025,8548,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),882,2329,4987,350,6.7,57.5,9.1,8.6,11.9,3123.5,1354.8,1000.3,2466.3,603.0,143106,13532,7667,5264,601,8,87,395 John Ireland Boulevard,Saint Paul,MN,55155,(651) 296-3000,https://www.dot.state.mn.us
MS,Mississippi,Jackson,2.94,Mississippi Department of Transportation,2025,2426,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,846,1550,30,9.8,45.2,6.4,6.5,7.6,1680.5,206.5,169.3,197.5,172.2,78390,16739,9228,6502,1009,7,82,401 North West Street,Jackson,MS,39201,(601) 359-7001,https://mdot.ms.gov
MO,Missouri,Jefferson City,6.27,Missouri Department of Transportation,2025,3623,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),485,198,2940,0,16.5,11.2,7.3,7.8,8.8,1760.0,679.0,434.2,416.5,333.4,132889,24618,9263,13152,2203,7,115,105 West Capitol Avenue,Jefferson City,MO,65102,(573) 751-2551,https://www.modot.org
MT,Montana,Helena,1.13,Montana Department of Transportation,2025,1256,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),64,660,532,0,6.4,4.1,10.8,12.0,12.0,781.4,240.2,229.1,0.0,5.2,74652,5224,1646,3222,356,5,56,2701 Prospect Avenue,Helena,MT,59620,(406) 444-6200,https://www.mdt.mt.gov
NE,Nebraska,Lincoln,2.01,Nebraska Department of Transportation,2025,1343,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,677,666,0,20.4,4.7,6.2,6.9,6.6,698.2,145.5,135.1,364.2,0.0,95571,15398,8149,6032,1217,8,93,1500 Highway 2,Lincoln,NE,68502,(402) 471-4567,https://dot.nebraska.gov
NV,Nevada,Carson City,3.27,Nevada Department of Transportation,2025,1119,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),1,595,455,68,35.6,-21.3,5.7,7.2,5.3,572.8,160.9,325.6,0.0,59.6,47413,2099,1223,852,24,3,17,1263 South Stewart Street,Carson City,NV,89712,(775) 888-7000,https://www.dot.nv.gov
NH,New Hampshire,Concord,1.41,New Hampshire Department of Transportation,2025,750,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),9,295,442,4,-2.8,-1.7,9.4,8.9,8.5,284.4,112.3,162.0,128.6,62.7,16262,2542,1312,1039,191,6,10,7 Hazen Drive,Concord,NH,03302,(603) 271-3734,https://www.dot.nh.gov
NJ,New Jersey,Trenton,9.5,New Jersey Department of Transportation,2025,8360,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),2180,2842,1944,1394,5.0,9.2,8.4,8.4,8.3,3390.7,914.3,834.0,335.7,2885.4,38730,6827,1731,4686,410,4,21,1035 Parkway Avenue,Trenton,NJ,08625,(609) 963-1990,https://www.nj.gov/transportation
NM,New Mexico,Santa Fe,2.13,New Mexico Department of Transportation,2025,2132,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),23,1153,943,13,92.2,-14.3,4.9,9.0,7.2,986.1,161.6,539.4,202.5,242.5,72285,4035,1414,2439,182,6,33,1120 Cerrillos Road,Santa Fe,NM,87504,(505) 827-5100,https://www.dot.nm.gov
NY,New York,Albany,19.87,New York State Department of Transportation,2025,13033,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),656,2158,7087,3132,-0.5,8.9,5.5,5.1,5.4,6270.3,2819.7,1674.1,673.1,1595.8,114274,17642,6247,9731,1664,11,62,50 Wolf Road,Albany,NY,12232,(518) 457-6195,https://www.dot.ny.gov
NC,North Carolina,Raleigh,11.05,North Carolina Department of Transportation,2025,8197,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,1814,6290,93,1.6,6.7,11.8,10.9,9.8,5559.1,1472.3,496.6,178.8,490.3,108588,19210,8421,9491,1298,14,100,1501 Mail Service Center,Raleigh,NC,27699,(919) 707-2800,https://www.ncdot.gov
ND,North Dakota,Bismarck,0.8,North Dakota Department of Transportation,2025,935,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),2,450,483,0,14.8,-6.6,10.6,13.4,11.9,703.9,49.9,74.9,106.4,0.0,88447,4255,1800,1988,467,8,53,608 East Boulevard Avenue,Bismarck,ND,58505,(701) 328-2500,https://www.dot.nd.gov
OH,Ohio,Columbus,11.88,Ohio Department of Transportation,2025,5190,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),75,1730,3347,38,41.0,3.1,3.8,5.1,5.0,2163.6,435.7,879.6,1347.1,364.1,122876,26729,16319,9143,1267,12,88,1980 West Broad Street,Columbus,OH,43223,(614) 466-7170,https://www.transportation.ohio.gov
OK,Oklahoma,Oklahoma City,4.1,Oklahoma Department of Transportation,2025,2855,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),30,1374,1175,276,25.0,35.5,5.8,7.5,9.4,1341.0,772.0,494.9,0.0,247.1,115427,22917,9620,11533,1764,8,77,200 NE 21st Street,Oklahoma City,OK,73105,(405) 522-8000,https://oklahoma.gov/odot
OR,Oregon,Salem,4.27,Oregon Department of Transportation,2025,3228,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),49,67,3100,12,5.4,24.2,4.5,4.4,5.1,1335.7,489.8,391.4,754.0,257.0,79167,8305,2766,5156,383,5,36,355 Capitol Street NE,Salem,OR,97301,(503) 986-3200,https://www.oregon.gov/odot
PA,Pennsylvania,Harrisburg,13.08,Pennsylvania Department of Transportation,2025,11639,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),3,3208,8220,208,9.5,6.3,8.8,9.2,9.1,5645.7,2306.7,1585.5,505.5,1595.6,121926,23299,7915,12452,2932,11,67,400 North Street,Harrisburg,PA,17120,(717) 787-2838,https://www.pa.gov/agencies/penndot
RI,Rhode Island,Providence,1.11,Rhode Island Department of Transportation,2025,1081,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,526,549,6,1.6,39.1,6.1,6.1,7.4,641.5,169.1,111.4,0.0,158.9,6464,783,179,485,119,4,5,Two Capitol Hill,Providence,RI,02903,(401) 222-2450,https://www.dot.ri.gov
SC,South Carolina,Columbia,5.48,South Carolina Department of Transportation,2025,3643,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),372,1081,2190,0,6.9,18.6,7.4,7.6,8.7,2098.6,737.7,195.4,584.8,26.5,76729,9490,3690,5214,586,7,46,955 Park Street,Columbia,SC,29202,(803) 737-2314,https://www.scdot.org
SD,South Dakota,Pierre,0.93,South Dakota Department of Transportation,2025,1150,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),1,738,411,0,14.3,9.3,15.1,15.3,16.7,794.0,152.2,203.8,0.0,0.0,81762,5887,1992,2932,963,4,66,700 East Broadway Avenue,Pierre,SD,57501,(605) 773-3265,https://dot.sd.gov
TN,Tennessee,Nashville,7.23,Tennessee Department of Transportation,2025,2860,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),113,1474,1273,0,9.5,-0.9,5.5,5.4,4.9,1645.4,487.0,311.5,416.1,0.0,96303,20379,8664,10817,898,4,95,505 Deaderick Street,Nashville,TN,37243,(615) 741-2848,https://www.tn.gov/tdot
TX,Texas,Austin,31.29,Texas Department of Transportation,2025,22765,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),773,5912,16080,0,30.4,16.9,11.1,13.5,15.5,13202.2,2839.4,3814.9,518.7,2389.8,322113,56729,29129,26905,695,25,254,125 East 11th Street,Austin,TX,78701,(512) 463-8585,https://www.txdot.gov
UT,Utah,Salt Lake City,3.5,Utah Department of Transportation,2025,3643,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),1204,775,1664,0,-6.2,38.7,11.9,10.1,12.8,1643.2,503.0,405.2,589.6,502.1,49203,3125,693,2341,91,4,29,4501 South 2700 West,Salt Lake City,UT,84114,(801) 965-4000,https://www.udot.utah.gov
VT,Vermont,Montpelier,0.65,Vermont Agency of Transportation,2025,783,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),9,421,353,0,9.7,-3.7,9.4,9.7,8.7,397.9,151.2,196.4,37.1,0.4,14247,2862,1491,1288,83,9,14,219 North Main Street,Barre,VT,05641,(802) 828-2657,https://vtrans.vermont.gov
